Date,Hour,Total,Event QR,Integrated QR (CUMTA),Miles & Km QR (ONDC),Mobile QR,Namma Yatri QR (ONDC),Paper QR,Paytm QR,PhonePe QR,Promotional Ride QR,Rapido QR (ONDC),RedBus QR (ONDC),SVP QR,Singara Chennai Card,Static QR,Store Value Card,Uber QR (ONDC),WhatsApp QR
2026-01-24,00:00,10,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0
2026-01-24,02:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-24,03:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
2026-01-24,04:00,985,0,19,0,51,5,425,89,72,0,91,12,0,7,74,1,35,104
2026-01-24,05:00,3813,0,57,0,80,4,1343,253,179,0,240,23,13,948,153,24,159,337
2026-01-24,06:00,5854,0,94,0,133,2,1846,365,328,0,385,55,16,1821,189,27,197,396
2026-01-24,07:00,9478,0,14,0,205,5,2421,476,356,0,717,66,41,3881,270,39,422,565
2026-01-24,08:00,17955,0,192,0,273,4,3381,705,588,0,1405,87,90,8727,466,49,920,1068
2026-01-24,09:00,25090,0,348,0,277,16,3711,815,693,0,1678,97,149,14383,570,69,1100,1184
2026-01-24,10:00,20416,0,282,0,192,11,3868,630,512,0,1251,84,121,11531,438,63,611,822
2026-01-24,11:00,15447,0,318,0,267,12,3866,625,490,0,1248,86,66,6627,423,83,418,918
2026-01-24,12:00,15054,0,300,0,284,8,4175,721,531,0,1461,90,58,5373,435,109,486,1023
2026-01-24,13:00,17817,0,371,0,301,6,5075,804,677,0,1623,122,61,6457,510,93,600,1116
2026-01-24,14:00,17617,0,357,0,273,13,4595,775,571,0,1580,107,61,6954,638,98,520,1064
2026-01-24,15:00,17099,0,357,0,344,14,4762,777,564,0,1717,113,72,6107,537,101,507,1127
2026-01-24,16:00,19479,0,427,0,382,13,4917,901,707,0,2090,106,85,7080,658,103,750,1260
2026-01-24,17:00,22792,0,442,0,374,16,5537,992,802,0,2154,105,82,9062,704,119,875,1528
2026-01-24,18:00,25740,0,542,0,419,12,5454,1121,863,0,2220,193,126,11072,743,108,1044,1823
2026-01-24,19:00,24477,0,438,0,356,9,5105,1123,822,0,2071,135,116,11041,721,104,840,1596
2026-01-24,20:00,18003,0,380,0,260,13,4129,880,592,0,1442,115,83,7912,433,96,530,1138
2026-01-24,21:00,13495,0,328,0,234,7,3281,668,498,0,1004,112,55,5525,402,63,411,907
2026-01-24,22:00,8108,0,56,0,96,0,3248,148,139,0,447,33,27,3348,151,71,160,184
2026-01-24,23:00,2072,0,0,0,0,0,620,0,0,0,0,0,13,1422,0,17,0,0
